Channel	Raw	Slope
0	695.5	0.00788785	
1	687.5	0.00797964	
2	711.5	0.00771047	
3	706.5	0.00776504	
4	689.5	0.00795649	
5	728.5	0.00753054	
6	686.5	0.00799126	
7	704.5	0.00778708	
16	644.5	0.00851202	
17	715.5	0.00766737	
18	686.5	0.00799126	
19	681.5	0.00804989	
20	694.5	0.00789921	
21	702.5	0.00780925	
22	686.5	0.00799126	
23	675.5	0.00812139	
24	665.5	0.00824343	
25	700.5	0.00783155	
26	681.5	0.00804989	
27	695.5	0.00788785	
28	647.5	0.00847259	
29	670.5	0.00818195	
30	701.5	0.00782038	
31	678.5	0.00808548	
32	719.5	0.00762474	
33	685.5	0.00800292	
35	711.5	0.00771047	
36	727.5	0.00754089	
37	681.5	0.00804989	
38	703.5	0.00779815	
39	702.5	0.00780925	
40	728.5	0.00753054	
41	739.5	0.00741853	
42	678.5	0.00808548	
43	699.5	0.00784274	
44	728.5	0.00753054	
45	728.5	0.00753054	
46	698.5	0.00785397	
47	707.5	0.00775406	
48	758.5	0.0072327	
49	713.5	0.00768886	
50	736.5	0.00744874	
51	705.5	0.00777605	
52	765.5	0.00716656	
53	716.5	0.00765666	
54	728.5	0.00753054	
55	767.5	0.00714788	
56	731.5	0.00749966	
57	763.5	0.00718533	
58	732.5	0.00748942	
59	758.5	0.0072327	
60	755.5	0.00726142	
61	813.5	0.0067437	
62	796.5	0.00688763	
63	753.5	0.00728069	
64	783.5	0.00700191	
65	738.5	0.00742857	
66	780.5	0.00702883	
67	739.5	0.00741853	
68	713.5	0.00768886	
69	738.5	0.00742857	
70	740.5	0.00740851	
71	657.5	0.00834373	
72	729.5	0.00752022	
73	687.5	0.00797964	
74	731.5	0.00749966	
75	729.5	0.00752022	
76	697.5	0.00786523	
77	696.5	0.00787653	
78	718.5	0.00763535	
79	693.5	0.0079106	
80	762.5	0.00719475	
81	0	0	
82	754.5	0.00727104	
83	802.5	0.00683614	
84	791.5	0.00693114	
85	793.5	0.00691367	
86	790.5	0.00693991	
87	762.5	0.00719475	
88	775.5	0.00707415	
89	772.5	0.00710162	
90	734.5	0.00746903	
91	726.5	0.00755127	
92	784.5	0.00699299	
93	714.5	0.0076781	
94	760.5	0.00721368	
95	758.5	0.0072327	
96	708.5	0.00774312	
97	751.5	0.00730007	
98	737.5	0.00743864	
99	693.5	0.0079106	
100	723.5	0.00758258	
101	759.5	0.00722317	
102	760.5	0.00721368	
103	729.5	0.00752022	
104	724.5	0.00757212	
105	722.5	0.00759308	
106	685.5	0.00800292	
107	721.5	0.0076036	
108	721.5	0.0076036	
109	755.5	0.00726142	
110	734.5	0.00746903	
111	722.5	0.00759308	
112	730.5	0.00750992	
113	734.5	0.00746903	
114	746.5	0.00734896	
115	732.5	0.00748942	
116	678.5	0.00808548	
117	706.5	0.00776504	
118	740.5	0.00740851	
119	675.5	0.00812139	
120	687.5	0.00797964	
121	696.5	0.00787653	
122	685.5	0.00800292	
123	782.5	0.00701086	
124	733.5	0.00747921	
125	767.5	0.00714788	
126	690.5	0.00794497	
127	725.5	0.00756168	
