Z	A	Mass_(amu)
0	0	0.0000000000
1	1	1.00782503224
1	2	2.01410177811
2	3	3.01602932265
2	4	4.00260325413
3	7	7.016003437
3	8       8.02248625
4	8	8.005305102
4	9	9.012183065
5	9	9.0133296
5	10	10.012936862
5	11	11.009305166
5	12	12.0143526
6	11	11.0114326
6	12	12.0000000000
6	13	13.00335483521
7	13	13.0057386
6	14	14.003241988
8	16	15.99491461960
8	17	16.9991317566
9	19	18.9984031629
9	20	19.99998125
12	25	24.98583696
12	26	25.98259297
22	48	47.94794093
22	49	48.94786463
22	50	49.94478584
22	51	50.9466096
82	208	207.9766519
82	209	208.9810899
-1	-1	-1  -- final line necessary for termination
